r,angle,eccentricity,cx,cy,norm_r,angle_90,act_r,scale,norm_act_r,label
40.914,170,0.892,48,110,,9,120.803,2.953,,1
40.723,173,0.896,48,111,,6,122.009,2.996,,1
41.797,175,0.891,48,112,,4,122.819,2.938,,1
40.93,175,0.898,50,113,,4,124.007,3.03,,1
41.345,178,0.893,52,110,,1,122.613,2.966,,1
41.708,2,0.893,54,111,,2,123.603,2.964,,1
42.411,6,0.891,56,110,,6,124.447,2.934,,1
41.237,5,0.893,55,108,,5,122.088,2.961,,1
41.325,8,0.895,56,109,,8,123.43,2.987,,1
39.897,8,0.897,55,106,,8,120.57,3.022,,1
39.61,9,0.899,55,106,,9,120.505,3.042,,1
38.618,9,0.902,55,105,,9,119.054,3.083,,1
38.542,9,0.903,55,105,,9,119.32,3.096,,1
39.936,10,0.899,56,107,,10,121.515,3.043,,1
40.867,8,0.895,57,108,,8,122.266,2.992,,1
40.072,7,0.899,56,107,,7,121.781,3.039,,1
41.198,5,0.891,56,107,,5,120.886,2.934,,1
41.208,5,0.894,55,109,,5,122.465,2.972,,1
41.176,4,0.894,55,109,,4,122.347,2.971,,1
41.04,2,0.898,55,111,,2,124.335,3.03,,1
40.711,0,0.899,53,111,,0,123.686,3.038,,1
42.281,1,0.895,51,115,,1,126.158,2.984,,1
40.596,177,0.899,49,113,,2,123.843,3.051,,1
40.782,173,0.895,47,112,,6,122.055,2.993,,1
41.867,173,0.899,50,116,,6,127.189,3.038,,1
41.946,170,0.897,50,115,,9,126.349,3.012,,1
43.316,169,0.892,52,116,,10,127.991,2.955,,1
43.321,166,0.892,52,116,,13,127.8,2.95,,1
43.558,166,0.891,53,116,,13,127.955,2.938,,1
44.312,166,0.89,54,117,,13,129.759,2.928,,1
44.389,165,0.89,55,117,,14,129.593,2.92,,1
43.546,164,0.886,49,114,,15,125.064,2.872,,1
43.076,165,0.891,49,116,,14,126.717,2.942,,1
43.369,166,0.889,49,116,,13,126.256,2.911,,1
43.541,165,0.891,53,116,,14,128.107,2.942,,1
43.433,167,0.891,52,116,,12,127.753,2.941,,1
44.323,170,0.89,53,118,,9,129.637,2.925,,1
42.428,170,0.896,52,116,,9,127.313,3.001,,1
42.843,172,0.894,51,116,,7,127.472,2.975,,1
42.618,174,0.896,51,117,,5,127.87,3,,1
47.752,179,0.874,55,118,,0,131.198,2.747,,1
44.321,177,0.888,55,115,,2,128.57,2.901,,1
43.16,177,0.892,54,114,,2,127.062,2.944,,1
43.201,179,0.893,55,115,,0,127.95,2.962,,1
41.747,0,0.901,56,115,,0,128.284,3.073,,1
41.671,1,0.903,55,116,,1,129.178,3.1,,1
40.93,2,0.905,56,114,,2,128.014,3.128,,1
40.481,1,0.906,55,114,,1,127.258,3.144,,1
40.611,2,0.906,55,115,,2,127.789,3.147,,1
40.935,2,0.905,55,115,,2,128.071,3.129,,1
40.841,1,0.905,55,115,,1,127.764,3.128,,1
40.836,1,0.903,54,114,,1,126.881,3.107,,1
40.745,0,0.904,54,114,,0,126.843,3.113,,1
40.686,0,0.905,55,114,,0,127.355,3.13,,1
40.815,0,0.905,55,115,,0,127.628,3.127,,1
41.619,0,0.901,54,115,,0,128.185,3.08,,1
40.397,179,0.907,53,115,,0,127.605,3.159,,1
40.543,0,0.906,53,116,,0,127.839,3.153,,1
41.278,0,0.903,54,115,,0,127.825,3.097,,1
40.701,179,0.904,53,114,,0,126.869,3.117,,1
39.799,179,0.907,54,113,,0,125.983,3.165,,1
40.766,0,0.902,54,113,,0,125.761,3.085,,1
41.082,1,0.901,54,114,,1,126.513,3.079,,1
40.718,2,0.903,54,113,,2,126.276,3.101,,1
40.438,2,0.905,54,113,,2,126.526,3.129,,1
40.067,3,0.903,54,111,,3,124.528,3.108,,1
40.193,3,0.904,55,112,,3,125.289,3.117,,1
38.594,2,0.906,54,108,,2,121.424,3.146,,1
40.841,4,0.9,56,111,,4,125.051,3.062,,1
42.366,4,0.894,57,111,,4,125.834,2.97,,1
42.412,4,0.895,58,112,,4,126.83,2.99,,1
41.941,5,0.898,59,112,,5,126.917,3.026,,1
41.185,5,0.899,57,111,,5,125.624,3.05,,1
39.657,5,0.903,55,109,,5,123.142,3.105,,1
40.223,5,0.9,56,109,,5,122.936,3.056,,1
40.998,5,0.898,56,110,,5,124.172,3.029,,1
40.487,6,0.9,56,110,,6,123.628,3.054,,1
39.688,6,0.901,55,108,,6,122.112,3.077,,1
40.217,7,0.9,56,109,,7,123.125,3.062,,1
40.628,7,0.899,56,109,,7,123.734,3.046,,1
39.895,5,0.901,56,108,,5,122.393,3.068,,1
40.019,6,0.904,56,110,,6,124.579,3.113,,1
39.95,0,0.905,53,112,,0,124.912,3.127,,1
40.513,11,0.895,58,105,,11,121.008,2.987,,1
41.329,12,0.89,59,105,,12,120.668,2.92,,1
40.909,14,0.893,60,105,,14,121.435,2.968,,1
40.59,14,0.893,60,104,,14,120.298,2.964,,1
