angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.045,106.421,13061.206,10637.000,0.118,0.853,,,,0
0.047,104.666,13349.215,10741.000,0.119,0.856,,,,0
0.049,106.005,13453.922,10645.000,0.118,0.861,,,,0
0.078,108.341,14061.772,10950.000,0.122,0.862,,,,0
0.076,109.221,14785.247,11622.500,0.129,0.863,,,,0
0.075,113.205,14573.317,11870.000,0.132,0.838,,,,0
0.075,111.476,15179.766,11978.000,0.133,0.855,,,,0
0.072,115.228,14946.209,12346.500,0.137,0.836,,,,0
0.076,114.712,15347.255,12574.000,0.140,0.840,,,,0
0.097,116.279,15673.176,12767.000,0.142,0.844,,,,0
0.077,117.564,16163.860,12898.500,0.143,0.836,,,,0
0.081,119.103,16340.537,13101.500,0.146,0.841,,,,0
0.097,120.317,16554.282,13365.500,0.149,0.846,,,,0
0.107,122.134,17130.127,13951.000,0.155,0.846,,,,0
0.112,123.633,17789.398,14331.500,0.159,0.847,,,,0
0.107,126.793,17901.735,14630.000,0.163,0.845,,,,0
0.119,128.287,18443.080,15077.500,0.168,0.844,,,,0
0.124,128.975,19073.972,15533.500,0.173,0.842,,,,0
0.133,130.762,19405.200,15737.500,0.175,0.842,,,,0
0.138,131.871,19595.993,15348.500,0.171,0.855,,,,0
0.153,135.462,19945.452,15745.500,0.175,0.851,,,,0
0.163,135.606,20261.481,15968.500,0.177,0.857,,,,0
0.176,138.436,20217.003,16172.500,0.180,0.856,,,,0
0.163,139.541,19601.383,16215.500,0.180,0.850,,,,0
0.165,138.868,19797.181,15619.500,0.174,0.856,,,,0
0.156,136.773,19534.617,15748.000,0.175,0.845,,,,0
0.113,135.594,20912.603,16564.500,0.184,0.834,,,,0
0.112,140.567,21358.433,16710.500,0.186,0.829,,,,0
0.131,145.525,21682.531,17497.500,0.194,0.834,,,,0
0.118,144.791,22097.481,17643.500,0.196,0.834,,,,0
0.111,145.949,22035.548,17681.000,0.196,0.833,,,,0
0.091,146.907,22029.264,17798.000,0.198,0.832,,,,0
0.064,149.011,22476.971,17828.500,0.198,0.828,,,,0
0.061,150.679,22385.589,17816.000,0.198,0.828,,,,0
0.036,152.732,23570.777,17831.500,0.198,0.819,,,,0
0.065,152.092,22777.185,17340.000,0.193,0.837,,,,0
0.055,151.535,24840.999,18449.500,0.205,0.761,,,,0
0.126,158.070,25902.612,18897.000,0.210,0.764,,,,0
0.177,162.677,27129.225,19292.500,0.214,0.710,,,,0
0.213,165.412,28815.559,19772.500,0.220,0.682,,,,0
0.250,165.266,29549.284,20079.500,0.223,0.633,,,,0
0.209,170.204,29820.510,20213.500,0.225,0.640,,,,0
0.230,173.440,30509.217,20178.500,0.224,0.648,,,,0
0.248,171.770,30330.563,20211.000,0.225,0.652,,,,0
0.248,171.625,30724.057,20109.500,0.223,0.618,,,,0
0.232,171.607,30591.678,20008.500,0.222,0.658,,,,0
0.255,171.401,30482.892,19970.000,0.222,0.648,,,,0
0.274,174.010,29548.110,19887.500,0.221,0.723,,,,0
0.216,170.939,28390.495,19536.000,0.217,0.766,,,,0
0.168,165.953,28184.002,19569.000,0.217,0.759,,,,0
0.138,162.707,27696.057,19373.000,0.215,0.773,,,,0
0.160,162.632,26932.755,19114.000,0.212,0.785,,,,0
0.158,159.649,26491.104,18796.500,0.209,0.785,,,,0
0.175,161.974,26790.827,18573.500,0.206,0.783,,,,0
0.143,156.061,26093.968,18255.500,0.203,0.790,,,,0
0.084,149.544,26375.455,17593.500,0.195,0.789,,,,0
0.020,143.006,25586.281,16684.000,0.185,0.830,,,,0
0.108,138.319,25229.797,15337.000,0.170,0.898,,,,0
0.069,140.077,21222.363,16772.500,0.186,0.820,,,,0
0.059,138.095,21009.615,17339.000,0.193,0.825,,,,0
0.070,136.265,19876.416,16098.500,0.179,0.831,,,,0
0.036,136.404,19796.169,16462.000,0.183,0.836,,,,0
0.053,135.030,19518.146,16777.500,0.186,0.831,,,,0
0.023,136.799,20049.297,16242.000,0.180,0.829,,,,0
0.034,134.818,20227.836,16099.500,0.179,0.855,,,,0
0.036,133.663,20114.082,16025.000,0.178,0.840,,,,0
0.048,136.817,20002.005,15996.500,0.178,0.837,,,,0
0.056,137.289,20051.768,16128.000,0.179,0.834,,,,0
0.075,138.612,20064.894,16325.500,0.181,0.834,,,,0
0.058,139.252,19761.406,16453.500,0.183,0.832,,,,0
0.076,138.243,19600.113,16644.500,0.185,0.840,,,,0
0.100,141.371,20044.440,16840.000,0.187,0.837,,,,0
0.092,139.356,19277.116,16745.500,0.186,0.831,,,,0
0.090,140.531,19321.110,16927.000,0.188,0.833,,,,0
0.086,141.474,19723.185,16906.000,0.188,0.844,,,,0
0.097,146.059,19509.250,16041.000,0.178,0.831,,,,0
0.137,143.374,21156.420,15872.000,0.176,0.867,,,,0
0.141,145.855,21225.096,15573.500,0.173,0.868,,,,0
0.140,143.639,21781.709,15351.000,0.171,0.879,,,,0
0.106,146.990,22583.683,16317.000,0.181,0.842,,,,0
0.076,147.015,22263.871,16651.000,0.185,0.829,,,,0
0.052,145.435,22907.217,17230.000,0.191,0.785,,,,0
0.022,144.527,23074.956,17553.000,0.195,0.766,,,,0
0.008,142.579,23552.334,18051.500,0.201,0.735,,,,0
0.031,144.236,23826.685,17995.500,0.200,0.709,,,,0
0.062,146.190,24636.628,18222.500,0.202,0.663,,,,0
0.080,147.204,24200.113,18268.500,0.203,0.674,,,,0
0.062,146.191,24320.198,17977.500,0.200,0.713,,,,0
0.009,143.222,23563.329,17605.000,0.196,0.684,,,,0
0.017,139.487,23150.507,17257.000,0.192,0.716,,,,0
0.033,137.533,22414.613,16706.500,0.186,0.726,,,,0
0.039,138.748,22610.371,16681.500,0.185,0.710,,,,0
0.032,139.420,22454.696,16824.500,0.187,0.734,,,,0
0.070,138.348,22830.980,16931.000,0.188,0.733,,,,0
0.023,141.038,22949.417,17332.000,0.193,0.750,,,,0
0.033,141.342,22352.397,16911.000,0.188,0.736,,,,0
0.013,142.169,22313.968,15504.500,0.172,0.761,,,,0
0.060,138.112,21252.095,14935.500,0.166,0.770,,,,0
0.089,135.117,21373.235,14703.500,0.163,0.828,,,,0
0.104,134.819,20967.151,14862.500,0.165,0.854,,,,0
0.096,136.379,20935.471,15040.500,0.167,0.849,,,,0
0.103,138.846,20828.420,15255.000,0.170,0.841,,,,0
0.121,138.695,19892.551,15167.000,0.169,0.862,,,,0
0.156,138.716,19375.247,14839.500,0.165,0.858,,,,0
0.167,140.170,19050.843,14932.000,0.166,0.857,,,,0
0.175,140.076,18067.925,14697.000,0.163,0.848,,,,0
0.187,139.431,18213.251,14376.000,0.160,0.862,,,,0
0.201,137.892,17452.265,14073.500,0.156,0.856,,,,0
0.204,137.357,17233.849,13659.000,0.152,0.852,,,,0
0.194,137.681,16822.775,13281.000,0.148,0.854,,,,0
