angle,eccentricity,cx,cy,r,label
172,0.934,47,94,105.0951949,2
171,0.94,46,101,110.9819805,2
171,0.941,47,100,110.4943437,2
171,0.937,48,107,117.2731853,2
171,0.938,46,110,119.2308685,2
171,0.936,49,102,113.1591799,2
160,0.936,54,80,96.5194281,2
2,0.925,55,90,105.4751155,2
3,0.922,59,93,110.1362792,2
3,0.921,62,80,101.2126474,2
3,0.923,57,88,104.8475083,2
3,0.919,59,89,106.780148,2
3,0.92,59,81,100.20978,2
3,0.924,56,93,108.5587399,2
3,0.922,60,89,107.3359213,2
166,0.938,57,74,93.40770846,2
161,0.929,61,62,86.97700846,2
173,0.946,51,101,113.1459235,2
172,0.944,48,105,115.4512884,2
172,0.943,50,97,109.1283648,2
172,0.944,54,94,108.4066419,2
170,0.936,56,80,97.65244493,2
