angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.24,120.48,18058.596,13716,0.045,0.893,0.291921701,0.105925274,0.092448137,0
0.227,118.452,17343.972,13545.5,0.044,0.886,0.27998611,0.096357923,0.089563099,0
0.226,118.049,17143.404,13256,0.043,0.898,0.277614294,0.093672729,0.084664456,0
0.212,116.158,16850.75,13067,0.043,0.901,0.266485004,0.089754692,0.081466378,0
0.205,115.142,16775.877,12931,0.042,0.894,0.260505438,0.088752296,0.079165116,0
0.188,112.666,16313.992,12819,0.042,0.891,0.245933189,0.082568602,0.077269958,0
0.17,109.466,15987.087,12687,0.041,0.883,0.227099911,0.078192015,0.07503638,0
0.153,104.047,15833.439,12427.5,0.04,0.891,0.195206931,0.076134983,0.070645369,0
0.124,99.444,15480.844,12264.5,0.04,0.875,0.168116437,0.071414459,0.067887238,0
0.098,95.651,15608.242,12269.5,0.04,0.869,0.145793116,0.073120057,0.067971843,0
0.055,94.755,15801.513,12421,0.04,0.862,0.140519798,0.075707559,0.070535382,0
0.036,92.658,15734.628,12550,0.041,0.871,0.128178116,0.074812106,0.072718197,0
0.017,93.886,15975.413,12646,0.041,0.861,0.135405386,0.078035724,0.074342617,0
0.001,94.659,16186.544,12884.5,0.042,0.835,0.1399548,0.080862335,0.078378287,0
0.02,93.605,15871.919,12803.5,0.042,0.837,0.133751589,0.076650151,0.077007682,0
0.024,89.621,15964.512,12403.5,0.04,0.87,0.110304157,0.077889782,0.070239264,0
0.011,92.366,15530.527,12477.5,0.041,0.861,0.126459579,0.072079612,0.071491421,0
0.007,93.436,15669.038,12586.5,0.041,0.857,0.132756957,0.07393399,0.073335815,0
0.002,93.84,16233.104,12851.5,0.042,0.869,0.135134658,0.081485678,0.077819892,0
0.012,94.194,16727.396,13168,0.043,0.867,0.137218089,0.088103235,0.083175404,0
0.016,97.53,17051.348,13686,0.045,0.859,0.156851782,0.092440288,0.091940506,0
0.02,99.61,17768.017,14194.5,0.046,0.871,0.169093413,0.102035017,0.100544858,0
0.03,97.815,19169.731,14690.5,0.048,0.883,0.158529121,0.120801094,0.108937697,0
0.027,104.514,19300.472,15518.5,0.051,0.856,0.197955412,0.122551448,0.122948323,0
0.021,107.225,19869.539,16002,0.052,0.825,0.21391073,0.130170088,0.131129649,0
0.03,104.056,18994.31,15141,0.049,0.868,0.195259899,0.118452566,0.116560628,0
0.038,100.266,18538.509,14511.5,0.047,0.877,0.172954235,0.112350325,0.105908829,0
0.042,100.768,18101.817,14127.5,0.046,0.86,0.175908706,0.106503914,0.099411148,0
0.047,97.377,17534.201,13669,0.044,0.875,0.155951316,0.0989047,0.091652848,0
0.043,98.636,16575.587,13418,0.044,0.866,0.163361034,0.086070823,0.087405665,0
0.047,97.713,16863.802,13325,0.043,0.868,0.15792881,0.089929431,0.085832008,0
0.052,97.251,16626.42,13171,0.043,0.869,0.155209756,0.086751373,0.083226167,0
0.051,98.105,16682.925,13371,0.044,0.866,0.160235887,0.087507859,0.086610376,0
0.059,98.106,17099.398,13510,0.044,0.871,0.160241772,0.093083579,0.088962401,0
0.059,97.557,17068.898,13462,0.044,0.873,0.157010688,0.092675246,0.088150191,0
0.059,100.262,17323.713,13817.5,0.045,0.865,0.172930694,0.096086697,0.094165623,0
0.064,102.817,18303.44,14623.5,0.048,0.866,0.187967889,0.109203233,0.107803987,0
0.061,103.398,18333.004,14735.5,0.048,0.865,0.191387306,0.109599034,0.109699144,0
0.062,104.979,18728.56,14821,0.048,0.861,0.200692123,0.114894718,0.111145893,0
0.067,107.156,18812.572,15254.5,0.05,0.844,0.213504638,0.116019467,0.118481167,0
0.07,107.377,19212.322,15592.5,0.051,0.856,0.214805311,0.1213713,0.124200481,0
0.075,107.574,19745.102,15761,0.051,0.861,0.215964735,0.128504132,0.127051677,0
0.077,109.234,19831.42,16039.5,0.052,0.856,0.225734498,0.129659753,0.131764188,0
0.08,110.222,20221.325,16255,0.053,0.861,0.231549273,0.134879782,0.135410674,0
0.077,112.54,20463.507,16604,0.054,0.861,0.245191629,0.138122102,0.141316119,0
0.079,114.389,21560.707,17267.5,0.056,0.852,0.256073732,0.152811361,0.152543233,0
0.083,116.545,22278.082,17829,0.058,0.864,0.268762654,0.162415542,0.162044401,0
0.086,117.138,22709.907,18048,0.059,0.86,0.272252696,0.168196793,0.16575011,0
0.084,120.068,23152.707,18608.5,0.061,0.849,0.289496916,0.174124978,0.175234356,0
0.086,121.331,23759.847,19198,0.062,0.86,0.296930176,0.182253338,0.185209313,0
0.095,124.084,24215.086,19504,0.063,0.862,0.31313268,0.188348055,0.190387154,0
0.1,123.13,24309.902,19345,0.063,0.859,0.307518009,0.189617447,0.187696707,0
0.108,126.388,25362.284,19918,0.065,0.865,0.326692641,0.203706684,0.197392467,0
0.11,129.25,25451.991,20102.5,0.065,0.863,0.343536654,0.204907677,0.2005144,0
0.123,131.261,25541.259,20383,0.066,0.864,0.355372193,0.206102793,0.205260753,0
0.125,132.078,25196.28,20292.5,0.066,0.858,0.360180564,0.201484231,0.203729399,0
0.125,131.706,24778.608,20186.5,0.066,0.86,0.357991195,0.195892459,0.201935768,0
0.108,128.861,25237.547,20285.5,0.066,0.856,0.341247234,0.202036712,0.203610951,0
0.086,127.747,27661.222,21386.5,0.07,0.782,0.334690899,0.234484751,0.222241023,0
0.091,135.116,27240.822,21604,0.07,0.827,0.378060408,0.228856457,0.225921351,0
0.087,136.387,27672.31,22151.5,0.072,0.817,0.385540751,0.234633197,0.235185624,0
0.084,137.256,28260.679,22445.5,0.073,0.802,0.390655163,0.242510252,0.240160412,0
0.087,135.737,28435.839,22433.5,0.073,0.832,0.381715241,0.244855285,0.239957359,0
0.072,138.221,28903.749,22722.5,0.074,0.811,0.396334573,0.251119641,0.244847541,0
0.07,139.656,28434.954,22777.5,0.074,0.836,0.404780121,0.244843437,0.245778199,0
0.075,140.112,29074.403,22763.5,0.074,0.827,0.407463864,0.253404348,0.245541304,0
0.061,140.329,29931.586,22883,0.074,0.829,0.408740995,0.264880271,0.247563369,0
0.048,139.347,31124.524,23093,0.075,0.765,0.402961533,0.280851266,0.251116789,0
0.027,136.11,35850.285,26947.5,0.088,0.647,0.383910495,0.344119518,0.316338962,0
0.005,141.453,37818.63,29155,0.095,0.611,0.415356184,0.370471623,0.353692172,0
0.005,145.768,40446.191,31316.5,0.102,0.54,0.440751683,0.405649278,0.390267014,0
0.002,147.677,42614.74,32837,0.107,0.462,0.451986911,0.434681704,0.415995465,0
0.024,148.371,43378.859,33453.5,0.109,0.427,0.456071378,0.444911691,0.42642729,0
0.057,151.033,44821.384,33958.5,0.111,0.402,0.471738312,0.464224144,0.434972419,0
0.017,153.603,44539.73,34449,0.112,0.441,0.486863788,0.460453374,0.443272192,0
0.019,153.622,44881.358,34434,0.112,0.43,0.486975611,0.465027073,0.443018376,0
0.003,155.363,44989.877,34479.5,0.112,0.419,0.497222091,0.46647992,0.443788284,0
0.084,153.723,45483.226,34318,0.112,0.425,0.487570036,0.473084852,0.441055535,0
0.013,154.948,44930.669,34212,0.111,0.41,0.494779651,0.465687246,0.439261904,0
0.019,154.062,43564.08,34037.5,0.111,0.47,0.489565187,0.447391421,0.436309181,0
0.013,151.756,41643.4,32593,0.106,0.546,0.475993455,0.421677453,0.41186673,0
0.034,150.922,40659.459,31977.5,0.104,0.57,0.471085032,0.4085045,0.401451826,0
0.041,149.065,39132.21,30687.5,0.1,0.605,0.460155845,0.388057766,0.379623676,0
0.033,146.629,38465.988,29752.5,0.097,0.621,0.445819012,0.37913842,0.363802498,0
0.006,144.833,38517.595,28753,0.094,0.581,0.435248835,0.379829331,0.346889912,0
0.046,144.527,37881.753,28324.5,0.092,0.617,0.433447902,0.371316711,0.339639243,0
0.049,142.432,37394.793,27209.5,0.089,0.648,0.42111799,0.364797314,0.320772277,0
0.008,134.593,37282.38,25110.5,0.082,0.611,0.374982344,0.363292335,0.285255,0
0.002,129.647,36805.468,22772,0.074,0.652,0.345873158,0.356907461,0.245685133,0
0.098,103.172,48389.875,20852,0.068,0.942,0.190057206,0.511998924,0.213196724,0
0.082,131.221,27841.369,21495.5,0.07,0.859,0.355136777,0.236896551,0.224085417,0
0.066,127.839,26580.77,21741,0.071,0.813,0.335232356,0.220019714,0.228239534,0
0.061,125.931,26299.822,21106.5,0.069,0.816,0.324003013,0.216258396,0.21750313,0
