angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.44,104.623,15631.602,12302.5,0.197,0.847,0.691362645,0.668251077,0.752281227,a
0.445,105.035,15943.628,12628.5,0.202,0.854,0.698066847,0.688829837,0.784791822,a
0.438,104.275,15577.809,12033,0.193,0.852,0.685699873,0.664703318,0.725405136,a
0.438,103.686,15541.98,12534.5,0.201,0.86,0.676115468,0.662340321,0.775417602,a
0.444,104.033,15664.445,12441.5,0.199,0.858,0.681761968,0.670417141,0.766143106,a
0.444,105.434,15696.971,12517.5,0.2,0.853,0.704559508,0.672562298,0.773722264,a
0.453,102.804,15664.95,12583.5,0.201,0.864,0.66176327,0.670450447,0.780304164,a
0.458,102.848,15522.64,12595.5,0.202,0.867,0.662479253,0.661064808,0.781500873,a
0.471,105.067,16301.7,12839,0.205,0.858,0.698587561,0.712445425,0.805784094,a
0.474,103.808,16048.643,12971.5,0.208,0.856,0.678100693,0.695755793,0.818997756,a
0.365,68.286,7972.415,6245.5,0.1,0.879,0.100074853,0.163111861,0.148242334,a
0.484,102.762,15769.942,12725.5,0.204,0.863,0.661079832,0.677374886,0.794465221,a
0.373,66.461,8151.548,6270.5,0.1,0.878,0.070377844,0.174926053,0.150735477,a
0.379,67.768,8300.636,6435,0.103,0.873,0.091645784,0.184758715,0.167140364,a
0.385,66.576,8277.196,6493,0.104,0.89,0.072249162,0.183212798,0.172924458,a
0.442,103.125,15632.253,12473,0.2,0.889,0.666986689,0.668294012,0.769284468,a
0.448,105.342,16073.355,12826,0.205,0.865,0.703062453,0.697385601,0.804487659,a
0.459,103.676,15668.219,12357,0.198,0.874,0.675952745,0.670666044,0.75771628,a
0.465,103.564,15959.031,12674.5,0.203,0.869,0.674130244,0.689845697,0.789379207,a
0.471,103.129,15867.577,12667.5,0.203,0.858,0.667051779,0.683814116,0.788681127,a
0.368,66.454,7930.033,6196.5,0.099,0.883,0.070263937,0.160316681,0.143355772,a
0.481,102.824,15808.979,12603.5,0.202,0.864,0.662088717,0.679949457,0.782298679,a
0.368,64.344,7599.319,6059.5,0.097,0.894,0.035929313,0.138505409,0.129693343,a
0.486,103.784,15973.945,12735,0.204,0.867,0.677710157,0.690829306,0.795412615,a
0.366,65.946,7861.699,6240.5,0.1,0.893,0.061997592,0.155809912,0.147743705,a
0.475,103.695,15853.027,12586,0.201,0.86,0.676261919,0.682854514,0.780553478,a
0.476,103.697,15894.087,12576.5,0.201,0.855,0.676294464,0.685562506,0.779606083,a
0.358,67.131,7550.337,6065.5,0.097,0.883,0.081280307,0.135274945,0.130291698,a
0.466,103.64,15627.003,12550.5,0.201,0.875,0.675366941,0.667947764,0.777013214,a
0.461,104.425,15601.605,12404.5,0.198,0.869,0.688140723,0.666272713,0.762453254,a
0.461,104.813,15873.864,12609.5,0.202,0.862,0.694454389,0.684228757,0.782897033,a
0.458,102.609,15538.166,12501.5,0.2,0.872,0.658590165,0.66208878,0.772126652,a
0.358,67.536,7449.132,6042.5,0.097,0.892,0.087870602,0.128600266,0.127998005,a
0.464,104.022,15699.704,12292,0.197,0.868,0.681582973,0.672742545,0.751234106,a
0.458,102.971,15669.527,12292.5,0.197,0.863,0.66448075,0.670752309,0.751283969,a
0.46,101.955,15220.22,12358,0.198,0.872,0.647948059,0.641119584,0.757816006,a
0.461,102.156,14924.519,11981.5,0.192,0.87,0.651218798,0.621617492,0.72026926,a
0.463,102.74,15047.097,12016.5,0.192,0.863,0.660721841,0.629701764,0.723759661,a
0.463,100.715,14827.271,11986,0.192,0.873,0.627770365,0.615203785,0.720718025,a
0.463,101.374,14783.352,11915,0.191,0.866,0.638493833,0.612307236,0.713637497,a
0.467,100.401,14535.532,11877.5,0.19,0.88,0.622660852,0.595962995,0.709897781,a
0.348,62.136,6885.041,5647.5,0.09,0.901,0,0.091397298,0.088606333,a
0.466,101.141,14710.196,11847.5,0.19,0.87,0.634702379,0.607482447,0.706906008,a
0.462,101.517,14780.282,11858,0.19,0.87,0.640820777,0.612104763,0.707953129,a
0.463,101.353,14917.049,12030,0.192,0.871,0.638152114,0.62112483,0.725105959,a
0.463,101.639,15168.358,12184.5,0.195,0.874,0.642806001,0.637699178,0.740513588,a
0.462,102.169,15219.97,12193.5,0.195,0.867,0.651430338,0.641103096,0.741411119,a
0.463,104.538,15473.123,12349.5,0.198,0.872,0.689979497,0.657799059,0.756968337,a
0.456,103.881,15410.288,12513,0.2,0.868,0.679288574,0.653654961,0.773273498,a
0.462,105.396,15576.443,12377,0.198,0.88,0.703941159,0.664613227,0.759710795,a
