r,act_angle,eccentricity,cx,cy,norm_r,angle_90,label,act_r,scale,norm_act_r
235.468,0,0.939,31,82,0.16943856,0,2,87.66413178,0.372297432,0.26458903
227.643,9,0.942,40,76,0.133478247,9,2,85.88364221,0.377273372,0.249008288
229.641,9,0.942,40,77,0.14266019,9,2,86.76981042,0.37784982,0.256762986
226.789,9,0.94,40,75,0.129553633,9,2,85,0.374797719,0.241275695
227.882,9,0.944,40,76,0.134576587,9,2,85.88364221,0.376877692,0.249008288
225.887,9,0.944,40,76,0.125408431,9,2,85.88364221,0.380206219,0.249008288
228.12,9,0.941,40,77,0.135670332,9,2,86.76981042,0.38036915,0.256762986
227.255,9,0.941,39,77,0.131695167,9,2,86.31338251,0.379808508,0.252768867
227.859,8,0.939,39,77,0.134470889,8,2,86.31338251,0.378801726,0.252768867
226.739,8,0.945,39,77,0.129323854,8,2,86.31338251,0.380672855,0.252768867
234.294,1,0.942,32,84,0.164043364,1,2,89.88882022,0.383658225,0.284056876
201.799,5,0.944,38,67,0.01471041,5,2,77.02596965,0.381696488,0.171496397
249.923,2,0.942,34,93,0.235867482,2,2,99.02019996,0.39620283,0.363963929
215.72,5,0.94,39,74,0.0786853,5,2,83.6480723,0.387762249,0.22944522
256.171,179,0.942,32,98,0.264580586,1,2,103.0921918,0.40243506,0.399597193
240.399,1,0.944,34,90,0.192099301,1,2,96.20810777,0.40020178,0.339355819
235.099,2,0.943,35,87,0.167742795,2,2,93.77632964,0.398880172,0.318075768
232.69,4,0.946,37,88,0.156672074,4,2,95.46203434,0.410254134,0.332827065
226.544,179,0.945,34,85,0.128427719,1,2,91.54780172,0.404106053,0.298574323
226.016,177,0.943,33,85,0.126001259,3,2,91.1811384,0.403427803,0.295365719
225.233,175,0.935,34,83,0.12240293,5,2,89.69392399,0.398227276,0.282351375
230.588,174,0.942,36,84,0.147012192,6,2,91.38927727,0.396331454,0.297187105
231.289,174,0.936,37,84,0.150233685,6,2,91.78779875,0.396853282,0.300674494
230.41,173,0.94,38,83,0.146194181,7,2,91.28526716,0.396186221,0.296276931
231.762,173,0.94,38,84,0.152407388,7,2,92.19544457,0.397802248,0.304241729
233.023,173,0.941,39,84,0.158202398,7,2,92.61209424,0.397437567,0.307887755
233.997,172,0.939,39,84,0.16267848,8,2,92.61209424,0.395783255,0.307887755
229.852,172,0.939,39,82,0.143629855,8,2,90.80198236,0.395045431,0.292047793
226.433,172,0.942,39,81,0.127917611,8,2,89.89994438,0.397026689,0.284154222
231.103,172,0.945,40,82,0.149378909,8,2,91.23595782,0.394784827,0.295845434
233.267,172,0.937,40,83,0.159323716,8,2,92.13576938,0.39497987,0.303719522
228.988,173,0.935,38,82,0.139659285,7,2,90.37698822,0.394680019,0.288328746
231.098,173,0.934,39,83,0.149355931,7,2,91.70605214,0.396827546,0.299959144
229.929,173,0.934,39,82,0.143983713,7,2,90.80198236,0.394913136,0.292047793
226.95,172,0.937,39,81,0.130293519,8,2,89.89994438,0.396122249,0.284154222
198.598,2,0.952,38,71,0,2,2,80.5294977,0.405489973,0.202155138
210.451,6,0.949,41,77,0.054471257,6,2,87.23531395,0.414516034,0.260836523
219.272,7,0.94,41,81,0.095008755,7,2,90.78546139,0.414031255,0.291903221
218.978,8,0.94,41,81,0.093657658,8,2,90.78546139,0.414587134,0.291903221
221.413,8,0.941,42,82,0.104847864,8,2,92.13034245,0.416101776,0.303672032
222.79,8,0.938,42,84,0.11117596,8,2,93.91485505,0.421539814,0.319287979
223.433,8,0.943,42,84,0.114130909,8,2,93.91485505,0.420326698,0.319287979
223.414,8,0.94,42,84,0.114043594,8,2,93.91485505,0.420362444,0.319287979
223.145,8,0.94,43,83,0.112807386,8,2,93.47726996,0.418908199,0.315458751
223.852,8,0.942,42,84,0.116056452,8,2,93.91485505,0.419539942,0.319287979
220.926,8,0.942,41,83,0.102609823,8,2,92.57429449,0.419028519,0.307556976
221.182,8,0.944,42,83,0.103786288,8,2,93.02150289,0.42056543,0.311470416
223.284,8,0.942,42,84,0.11344617,8,2,93.91485505,0.420607187,0.319287979
221.23,8,0.945,42,83,0.104006875,8,2,93.02150289,0.42047418,0.311470416
220.31,8,0.945,42,83,0.099778953,8,2,93.02150289,0.422230053,0.311470416
220.566,8,0.943,42,83,0.100955418,8,2,93.02150289,0.421739991,0.311470416
222.268,8,0.944,42,84,0.108777074,8,2,93.91485505,0.422529807,0.319287979
220.96,8,0.941,42,83,0.102766072,8,2,93.02150289,0.420987975,0.311470416
220.947,8,0.946,42,83,0.102706329,8,2,93.02150289,0.421012745,0.311470416
246.981,3,0.945,36,102,0.222347324,3,2,108.1665383,0.437954896,0.444001881
248.904,3,0.944,36,102,0.231184599,3,2,108.1665383,0.434571314,0.444001881
249.41,3,0.944,37,102,0.233509956,3,2,108.5034562,0.43504052,0.446950189
251.93,3,0.946,37,104,0.245090785,3,2,110.3856875,0.438160154,0.463421255
251.644,3,0.947,37,104,0.243776453,3,2,110.3856875,0.438658134,0.463421255
248.184,4,0.948,37,102,0.227875791,4,2,108.5034562,0.43718957,0.446950189
251.463,3,0.943,37,103,0.242944656,3,2,109.4440496,0.435229237,0.455181152
248.839,4,0.944,37,103,0.230885887,4,2,109.4440496,0.439818717,0.455181152
249.858,4,0.946,38,102,0.23556877,4,2,108.8485186,0.435641519,0.449969768
249.174,5,0.942,38,103,0.232425402,5,2,109.7861558,0.440600367,0.458174861
251.395,5,0.944,38,104,0.242632157,5,2,110.7248843,0.440441871,0.466389504
248.867,6,0.946,37,103,0.231014563,6,2,109.4440496,0.439769233,0.455181152
250.118,6,0.943,38,103,0.236763618,6,2,109.7861558,0.438937445,0.458174861
249.063,6,0.944,38,103,0.231915295,6,2,109.7861558,0.440796729,0.458174861
250.672,7,0.946,38,103,0.239309562,7,2,109.7861558,0.437967367,0.458174861
249.244,7,0.943,39,102,0.232747092,7,2,109.2016483,0.438131503,0.453059942
249.938,7,0.945,39,102,0.235936416,7,2,109.2016483,0.436914948,0.453059942
249.389,7,0.944,38,102,0.233413449,7,2,108.8485186,0.436460785,0.449969768
249.486,7,0.944,39,102,0.233859219,7,2,109.2016483,0.437706518,0.453059942
247.816,7,0.945,38,101,0.226184622,7,2,107.9120012,0.435452114,0.441774473
249.595,6,0.946,38,102,0.234360136,6,2,108.8485186,0.436100557,0.449969768
246.575,5,0.944,38,101,0.220481524,5,2,107.9120012,0.437643724,0.441774473
248.384,5,0.946,38,102,0.228794904,5,2,108.8485186,0.438226772,0.449969768
247.245,4,0.944,38,101,0.223560553,4,2,107.9120012,0.436457769,0.441774473
248.143,4,0.947,37,102,0.227687373,4,2,108.5034562,0.437261805,0.446950189
244.064,2,0.945,37,100,0.208942054,2,2,106.6255129,0.436875217,0.430516647
249.16,2,0.945,32,88,0.232361065,2,2,93.63759929,0.375813129,0.316861764
244.959,2,0.946,32,87,0.213055087,2,2,92.6984358,0.378424291,0.308643314
247.778,3,0.946,33,88,0.226009991,3,2,93.9840412,0.379307449,0.319893414
248.146,3,0.944,32,89,0.227701159,3,2,94.57801013,0.381138564,0.325091129
246.855,3,0.947,33,89,0.221768282,3,2,94.9210198,0.384521358,0.328092745
248.642,3,0.947,33,90,0.229980561,3,2,95.85927185,0.385531293,0.336303219
253.084,3,0.949,33,92,0.25039407,3,2,97.73944956,0.386193713,0.352756314
244.265,3,0.941,33,88,0.209865763,3,2,93.9840412,0.384762619,0.319893414
246.687,3,0.944,33,89,0.220996227,3,2,94.9210198,0.384783227,0.328092745
247.978,3,0.942,33,90,0.226929104,3,2,95.85927185,0.386563614,0.336303219
250.494,3,0.943,34,91,0.238491551,3,2,97.14422268,0.387810577,0.347547591
245.319,3,0.943,33,90,0.214709491,3,2,95.85927185,0.390753557,0.336303219
248.222,3,0.941,33,91,0.228050423,3,2,96.79876032,0.389968497,0.344524512
246.919,2,0.944,33,90,0.222062399,2,2,95.85927185,0.38822153,0.336303219
246.402,2,0.943,33,90,0.21968649,2,2,95.85927185,0.389036095,0.336303219
246.643,2,0.942,33,91,0.220794022,2,2,96.79876032,0.392465062,0.344524512
247.348,3,0.945,34,91,0.224033897,3,2,97.14422268,0.39274311,0.347547591
246.024,3,0.951,33,91,0.217949366,3,2,96.79876032,0.39345251,0.344524512
247.678,3,0.945,32,92,0.225550434,3,2,97.4063653,0.393278229,0.349841554
244.897,3,0.943,35,93,0.212770162,3,2,99.3680029,0.405754268,0.367007489
243.841,179,0.947,32,92,0.207917243,1,2,97.4063653,0.399466723,0.349841554
239.129,177,0.942,31,89,0.186262931,3,2,94.24436323,0.394115156,0.322171445
242.113,177,0.945,31,90,0.199976103,3,2,95.18928511,0.39316057,0.330440286
237.153,176,0.931,28,89,0.17718209,4,2,93.30058949,0.393419394,0.313912652
240.072,176,0.934,29,90,0.190596551,4,2,94.5568612,0.393868761,0.324906059
240.375,175,0.933,29,90,0.191989007,5,2,94.5568612,0.393372277,0.324906059
241.141,175,0.946,31,90,0.195509212,5,2,95.18928511,0.394745336,0.330440286
242.014,175,0.933,29,91,0.199521142,5,2,95.50916186,0.394643128,0.333239469
241.357,175,0.934,30,90,0.196501854,5,2,94.86832981,0.393062268,0.327631664
240.126,175,0.927,29,90,0.190844711,5,2,94.5568612,0.393780187,0.324906059
240.774,176,0.937,30,90,0.193822639,4,2,94.86832981,0.394014012,0.327631664
242.816,2,0.941,32,92,0.203206787,2,2,97.4063653,0.401152994,0.349841554
242.482,2,0.943,35,94,0.201671867,2,2,100.3045363,0.413657658,0.375202924
241.434,0,0.947,34,94,0.196855713,0,2,99.959992,0.41402616,0.372187879
243.131,3,0.945,33,94,0.20465439,3,2,99.62429423,0.409755622,0.369250249
243.447,3,0.948,35,95,0.20610659,3,2,101.2422837,0.415869917,0.383408981
244.111,2,0.945,34,96,0.209158046,2,2,101.8430165,0.41719962,0.388665885
209.717,4,0.954,38,78,0.051098111,4,2,86.76404785,0.413719669,0.256712558
230.606,5,0.89,44,100,0.147094912,5,3,109.2520023,0.47376045,0.45350058
235.457,5,0.849,49,100,0.169388008,5,3,111.3597773,0.472951653,0.471945338
233.839,7,0.817,49,99,0.161952381,7,3,110.4626634,0.472387683,0.464094857
228.979,5,0.861,51,96,0.139617925,5,3,108.7060256,0.474742337,0.448722837
229.358,6,0.849,48,98,0.141359644,6,3,109.1237829,0.475779275,0.452378556
224.638,5,0.876,48,95,0.119668568,5,3,106.4377752,0.473819101,0.428873789
224.773,6,0.879,47,96,0.120288969,6,3,106.8877916,0.475536615,0.432811801
227.697,5,0.877,47,97,0.133726408,5,3,107.7868267,0.473378335,0.440679094
235.22,8,0.841,44,103,0.168298859,8,3,112.0044642,0.476168966,0.477586877
234.946,7,0.859,43,104,0.167039674,7,3,112.5388822,0.478998928,0.482263472
232.109,6,0.917,45,101,0.15400205,6,3,110.571244,0.476376375,0.465045026
236.49,5,0.924,44,104,0.174135229,5,3,112.9247537,0.477503293,0.485640164
234.291,5,0.925,44,103,0.164029577,5,3,112.0044642,0.47805705,0.477586877
233.849,5,0.925,43,103,0.161998336,5,3,111.6154111,0.477296936,0.474182344
240.248,6,0.925,45,106,0.19140537,6,3,115.1564154,0.479323097,0.505169032
238.875,5,0.924,43,106,0.185095657,5,3,114.3896848,0.478868382,0.498459511
239.171,6,0.918,45,106,0.186455945,6,3,115.1564154,0.481481515,0.505169032
232.776,5,0.919,45,102,0.157067293,5,3,111.4854251,0.478938658,0.473044859
233.384,5,0.918,44,102,0.159861398,5,3,111.0855526,0.475977585,0.469545648
231.359,5,0.923,45,101,0.150555374,5,3,110.571244,0.477920651,0.465045026
233.921,5,0.915,45,102,0.162329217,5,3,111.4854251,0.476594342,0.473044859
234.027,6,0.908,46,102,0.162816347,6,3,111.8928058,0.478119216,0.476609775
230.573,5,0.897,44,101,0.146943259,5,3,110.1680534,0.477801189,0.461516779
223.594,5,0.909,45,97,0.114870796,5,3,106.9298836,0.478232348,0.43318014
222.25,5,0.892,45,96,0.108694353,5,3,106.0235823,0.477046489,0.425249261
229.282,6,0.872,45,100,0.141010381,6,3,109.658561,0.478269384,0.457058302
234.428,5,0.853,46,103,0.16465917,5,3,112.8051417,0.481193124,0.484593461
227,5,0.875,48,98,0.130523297,5,3,109.1237829,0.480721511,0.452378556
229.846,6,0.866,48,100,0.143602281,6,3,110.923397,0.48259877,0.468126653
226.245,6,0.878,49,97,0.127053644,6,3,108.6738239,0.480336909,0.448441046
