4	66	93	1
3	56	101	1
0	46	105	1
0	41	105	1
176	42	103	1
175	43	101	1
173	45	102	1
173	45	103	1
175	44	104	1
178	44	104	1
0	46	105	1
2	46	105	1
3	48	106	1
6	49	105	1
6	47	103	1
5	45	101	1
7	46	99	1
5	46	99	1
5	46	100	1
3	45	101	1
3	50	102	1
2	50	102	1
0	50	103	1
0	49	104	1
0	47	104	1
0	49	104	1
0	48	102	1
0	48	101	1
0	48	100	1
178	49	99	1
177	49	98	1
175	49	98	1
173	52	99	1
173	54	100	1
172	56	101	1
173	53	102	1
173	54	104	1
172	53	105	1
172	53	105	1
171	55	106	1
171	55	107	1
170	56	109	1
169	57	112	1
3	64	95	1
1	53	101	1
0	46	106	1
178	41	107	1
176	36	106	1
172	36	105	1
171	39	105	1
173	39	105	1
173	41	105	1
176	42	104	1
0	39	104	1
2	39	105	1
2	39	105	1
4	37	103	1
2	35	101	1
2	33	99	1
2	36	99	1
2	36	99	1
0	36	100	1
0	40	102	1
178	43	102	1
178	47	103	1
177	49	104	1
177	49	105	1
179	48	106	1
179	49	105	1
179	50	103	1
0	48	101	1
179	50	101	1
177	51	100	1
175	56	101	1
173	55	102	1
172	56	104	1
173	58	105	1
174	58	106	1
174	60	107	1
175	57	107	1
174	57	107	1
172	55	106	1
172	55	106	1
171	55	107	1
170	56	109	1
170	55	111	1
1	57	99	1
0	47	103	1
176	41	106	1
176	35	108	1
171	33	108	1
171	33	108	1
171	33	107	1
172	36	107	1
174	36	106	1
176	36	105	1
178	34	105	1
0	31	106	1
2	31	106	1
3	29	104	1
0	25	101	1
177	28	100	1
177	28	99	1
178	31	100	1
176	35	101	1
176	38	102	1
176	42	103	1
177	45	103	1
177	47	104	1
177	46	105	1
177	48	106	1
178	46	105	1
179	49	104	1
177	50	102	1
177	52	103	1
176	54	103	1
173	57	103	1
174	58	105	1
172	60	106	1
173	61	108	1
174	61	109	1
175	60	110	1
174	62	111	1
174	60	110	1
174	57	108	1
171	57	107	1
171	55	107	1
170	56	109	1
169	57	111	1
178	47	103	1
176	41	106	1
174	36	107	1
173	31	108	1
170	28	108	1
170	28	108	1
173	31	108	1
176	33	108	1
176	33	107	1
178	31	106	1
0	29	106	1
0	29	107	1
0	26	107	1
3	26	106	1
0	25	104	1
177	25	102	1
175	28	102	1
175	30	102	1
175	33	102	1
176	37	104	1
176	39	104	1
176	42	104	1
177	44	104	1
177	44	104	1
177	46	105	1
177	47	104	1
177	50	103	1
176	52	103	1
176	53	105	1
173	55	106	1
173	55	106	1
173	58	106	1
172	62	107	1
172	64	107	1
173	64	108	1
174	63	110	1
174	62	111	1
174	60	110	1
173	57	108	1
171	57	107	1
170	57	107	1
169	57	108	1
169	57	111	1
175	43	106	1
173	38	108	1
173	31	108	1
170	28	108	1
168	24	107	1
169	26	107	1
175	26	107	1
178	28	108	1
178	31	108	1
0	31	108	1
0	31	108	1
0	28	108	1
0	28	108	1
0	26	107	1
177	24	105	1
174	25	104	1
175	27	104	1
175	29	104	1
178	29	104	1
178	36	106	1
178	36	106	1
178	39	105	1
176	39	104	1
176	42	104	1
177	44	104	1
178	45	103	1
177	48	102	1
176	50	103	1
174	51	106	1
173	52	108	1
171	54	108	1
